Semivariogram           tail:Fe		         head:Fe		          direction  1 
   1         .000       .00000     1195       46.29381       46.29381
   2         .000       .00000        0         .00000         .00000
   3       20.790     14.36872     1310       45.39290       46.58740
   4       37.791     22.27291     1034       45.12698       47.21809
   5       60.170     30.87853      582       44.75670       47.99124
   6       80.221     33.78269      556       44.96727       47.98795
   7       98.636     37.91002      449       44.93408       48.23875
   8      120.425     37.27210      345       45.23043       49.00812
   9      142.061     36.54487      748       45.44866       48.12420
  10      159.751     39.71457     1049       45.38694       48.04948
  11      179.875     42.12487      858       45.17564       48.29394
  12      200.549     44.07295      961       45.33850       47.88106
  13      219.515     46.41583      947       45.53886       47.64308
  14      239.640     47.54539      773       46.29276       47.81953
  15      259.816     43.67317      605       45.93537       47.79025
  16      280.510     43.27857      664       46.35873       48.01596
  17      299.581     42.79021      751       46.57590       48.19694
